52;ordu           ;708;732;823;584;277;558;1051;402;1163;1050;834;581;756;619;989;891;1168;480;318;1044;720;1114;601;339;404;801;687;45;204;1008;785;947;777;882;1152;606;444;482;1091;540;772;737;880;564;1131;612;814;1187;674;614;605;0;254;734;147;851;310;307;1013;215;175;462;815;935;811;427;657;648;279;849;488;774;948;624;511;728;837;556;751;714;666
53;rize           ;918;772;1077;430;531;812;1305;148;1417;1304;1088;428;602;873;1243;1145;1421;733;572;1298;566;1368;568;306;250;1055;897;209;172;855;995;1200;987;1136;1405;344;698;692;1345;793;1025;991;1134;663;1384;822;661;1440;521;764;815;254;0;988;400;698;564;493;1267;469;79;430;743;1189;658;680;911;840;247;989;741;620;794;878;257;477;1091;810;961;924;920
54;sakarya        ;803;1041;302;1261;526;305;568;1136;621;316;100;1192;1383;115;446;157;433;347;464;502;1203;380;1054;896;1081;176;957;779;938;1651;1000;448;796;148;489;1283;361;619;357;486;37;529;206;956;452;882;1290;644;1302;578;661;734;988;0;588;1390;542;745;279;637;909;1019;1096;344;1488;517;182;535;978;642;377;1303;1461;270;1245;1405;103;249;1021;892;68
55;samsun         ;754;757;676;730;131;412;904;549;1016;903;688;718;909;473;842;744;1021;333;172;897;836;967;667;451;551;654;712;192;351;1155;810;800;747;735;1005;753;298;453;944;393;625;590;733;589;984;637;931;1040;828;467;549;147;400;588;0;1023;163;350;866;242;322;574;840;788;958;280;510;502;426;702;341;936;1130;477;658;874;690;410;776;738;519
56;siirt          ;721;390;1297;328;894;1087;1269;643;1599;1610;1388;288;96;1275;1367;1459;1739;1118;962;1480;187;1770;339;559;447;1308;505;806;648;292;700;1337;790;1538;1626;543;1148;769;1747;904;1428;1076;1394;434;1604;552;235;1579;177;852;904;851;698;1390;1023;0;1149;680;1669;783;750;430;360;1409;255;900;1352;929;572;1014;1013;87;100;1329;585;432;1493;1263;560;628;1322
57;sinop          ;868;883;676;894;257;409;963;712;1016;858;642;862;1053;427;841;699;975;277;264;897;962;922;793;595;714;654;838;355;514;1318;936;843;861;690;1004;916;182;545;898;491;579;632;748;715;983;762;1057;1039;972;584;666;310;564;542;163;1149;0;476;820;368;485;719;966;788;1121;372;394;600;589;743;382;1062;1256;361;821;1038;644;293;901;864;474
58;sivas          ;428;413;706;618;221;442;812;625;1021;987;765;482;673;630;789;836;1116;444;289;902;493;1125;324;253;438;684;408;296;356;973;506;759;497;892;1035;640;475;202;1101;326;782;498;763;246;1014;332;588;1045;591;275;326;307;493;745;350;680;476;0;1023;111;415;376;497;818;808;227;690;351;377;499;371;593;787;656;659;762;847;591;471;434;676
59;tekirdag       ;1082;1320;581;1539;804;583;846;1415;620;369;379;1470;1662;393;725;378;182;626;743;652;1482;148;1333;1174;1360;454;1236;1058;1217;1930;1278;726;1074;131;499;1562;640;897;124;764;243;807;484;1234;506;1160;1569;719;1580;857;940;1013;1267;279;866;1669;820;1023;0;915;1188;1297;1374;592;1767;796;460;813;1256;921;655;1581;1739;548;1524;1683;308;527;1299;1171;347
60;tokat          ;493;517;645;674;113;380;873;617;985;926;703;585;776;522;811;775;1054;336;180;866;597;1017;427;309;494;623;472;260;358;1076;570;768;562;785;974;697;366;267;993;332;674;559;702;349;952;397;691;1008;695;339;390;215;469;637;242;783;368;111;915;0;390;432;600;757;902;219;582;415;391;564;309;696;890;547;715;818;739;482;536;499;568
61;trabzon        ;839;780;998;482;452;733;1226;227;1338;1225;1009;480;654;794;1164;1066;1342;655;493;1219;618;1289;499;237;302;976;818;130;102;906;917;1122;908;1057;1327;422;619;613;1266;715;947;912;1055;594;1306;743;713;1362;572;685;737;175;79;909;322;750;485;415;1188;390;0;360;805;1110;709;602;832;762;177;910;663;672;846;799;336;555;1012;731;882;845;841
62;tunceli        ;631;419;1079;419;498;814;1184;426;1393;1335;1119;143;335;904;1161;1176;1452;745;589;1274;279;1399;138;129;239;1057;475;417;259;634;609;1131;700;1167;1407;441;748;574;1375;699;1056;870;1135;233;1386;456;373;1417;253;647;698;462;430;1019;574;430;719;376;1297;432;360;0;445;1191;469;600;964;723;257;871;743;339;526;929;460;563;1121;864;539;538;951
63;sanliurfa      ;355;112;934;617;711;793;903;688;1236;1258;1093;319;385;981;1004;1165;1444;823;758;1117;177;1475;319;573;493;1013;139;789;704;548;333;974;424;1243;1263;697;929;475;1452;610;1133;713;1030;269;1241;217;188;1213;426;558;565;815;743;1096;840;360;966;497;1374;600;805;445;0;1046;544;674;1057;623;618;648;719;273;358;1076;722;721;1198;1006;194;262;1027
64;usak           ;691;1029;112;1432;708;367;291;1337;272;225;249;1211;1402;459;169;320;420;510;617;153;1222;642;1073;1067;1253;217;907;980;1139;1601;888;171;684;492;217;1455;616;635;656;537;382;338;138;975;196;889;1240;296;1320;557;576;935;1189;344;788;1409;788;818;592;757;1110;1191;1046;0;1536;591;526;480;1192;452;450;1322;1411;630;1474;1576;383;560;943;780;412
65;van            ;905;573;1424;228;967;1215;1453;558;1726;1738;1515;327;159;1373;1494;1587;1866;1214;1059;1607;367;1868;467;598;410;1435;689;766;608;197;884;1464;974;1636;1753;357;1218;897;1845;1032;1526;1203;1521;562;1732;736;441;1750;216;980;1031;811;658;1488;958;255;1121;808;1767;902;709;469;544;1536;0;1028;1433;1056;532;1204;1141;293;351;1398;444;222;1591;1333;744;812;1420
66;yozgat         ;490;619;479;841;200;214;683;829;819;760;537;702;893;402;645;609;888;245;108;700;713;897;544;476;662;457;535;472;580;1193;633;603;483;665;808;864;298;197;874;113;555;369;536;466;787;460;808;843;812;206;288;427;680;517;280;900;372;227;796;219;602;600;674;591;1028;0;479;222;601;434;144;813;1007;498;883;985;620;428;599;561;449
67;zonguldak      ;765;1003;484;1205;471;266;750;1059;802;498;282;1107;1298;158;628;339;615;292;409;683;1165;562;1015;840;1026;357;918;702;861;1630;961;630;757;330;671;1228;213;580;538;447;219;531;388;917;634;843;1252;826;1217;540;623;657;911;182;510;1352;394;690;460;582;832;964;1057;526;1433;479;0;496;923;643;338;1264;1422;89;1168;1349;284;101;982;854;113
68;aksaray        ;268;580;368;965;421;224;461;972;670;692;522;730;921;420;438;594;873;322;330;551;742;915;592;600;785;442;485;693;703;1179;465;408;261;683;697;987;428;155;891;109;572;147;465;494;676;420;818;694;840;76;116;648;840;535;502;929;600;351;813;415;762;723;623;480;1056;222;496;0;724;212;218;841;988;516;1006;1109;637;446;520;358;467
